node1,node2
Syringaldehyde__FEC,"Erythrono-1,4-lactone__FEC"
Syringaldehyde__FEC,"Propanoic acid, 2-oxo__FEC"
1-Dodecanol__FEC,2'-Deoxyribolactone__FEC
1-Dodecanol__FEC,3-Deoxyhexitol__FEC
1-Dodecanol__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
1-Dodecanol__FEC,Undecanoic acid__FEC
Benzoic Acid__FEC,13-Docosenamide__FEC
Benzoic Acid__FEC,Pentanoic acid__FEC
Benzoic Acid__FEC,"Propane, 2-methyl__FEC"
Benzoic Acid__FEC,Pyridoxic acid__FEC
D-Allofuranose__FEC,Octadecyl octyl ether__FEC
L-Valyl-L-leucine__FEC,3-(3-Hydroxyphenyl)propanoic acid__FEC
L-Valyl-L-leucine__FEC,Cyclohexanemethanol__FEC
L-Valyl-L-leucine__FEC,"Xylonic acid, delta-lactone__FEC"
2-Piperidinone__FEC,Butanedioic acid__FEC
D-(-)-Ribofuranose__FEC,Lignoceric acid__FEC
1-Tetradecanol__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
1-Tetradecanol__FEC,Palmitic Acid__FEC
Pyrogallol__FEC,Xanthine__FEC
Pyrogallol__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
6-Hydroxyhexanoic acid__FEC,2-Hydroxy-3-methylbutyric acid__FEC
Pentadecanoic acid__FEC,Cyclohexanecarboxylic acid__FEC
Pentadecanoic acid__FEC,Myristic acid__FEC
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,2'-Deoxyribolactone__FEC
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,4-Hydroxybutanoic acid__FEC
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,Pimelic acid__FEC
"2,3-Butanediol__FEC",Pimelic acid__FEC
L-Glutamic acid__FEC,"2-Pentenedioic acid, 2-hydroxy-__FEC"
L-Glutamic acid__FEC,L-(-)-Sorbofuranose__FEC
L-Glutamic acid__FEC,N-Acetyl-L-glutamic acid__FEC
L-Rhamnose__FEC,"Propanoic acid, 2-oxo__FEC"
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",d-Erythrotetrofuranose__FEC
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",Octadecyl octyl ether__FEC
N-(2-hydroxyethyl)-succinimide__FEC,Phloretic acid__FEC
Cyclohexanecarboxylic acid__FEC,4-Methyl-5-thiazoleethanol__FEC
Cyclohexanecarboxylic acid__FEC,"Inosose-2, myo__FEC"
Cyclohexanecarboxylic acid__FEC,Nonanoic acid__FEC
"D-(+)-Ribono-1,4-lactone__FEC",N-Acetylglucosamine__FEC
"D-(+)-Ribono-1,4-lactone__FEC","(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC"
Thr-Leu__FEC,L-(+)-Lactic acid__FEC
Thr-Leu__FEC,Pimelic acid__FEC
"2',2,3,6'-Tetramethoxychalcone__FEC","beta-D-Galactopyranoside, methyl-, acetate__FEC"
D-(+)-Talofuranose__FEC,Decanoic acid__FEC
9H-Purin-6-ol__FEC,N-Methyl-alpha-aminoisobutyric acid__FEC
9H-Purin-6-ol__FEC,Dihydrouracil__FEC
D-(+)-Glucosamine__FEC,4-Hydroxybenzaldehyde__FEC
D-(+)-Glucosamine__FEC,Aconitic acid__FEC
D-(+)-Glucosamine__FEC,trans-Coniferryl alchool__FEC
Hydracrylic acid__FEC,5-Methyluridine__FEC
Hydracrylic acid__FEC,Dihydrouracil__FEC
Hydracrylic acid__FEC,L-(-)-Sorbofuranose__FEC
L-Threonine__FEC,Tyrosine__FEC
N-Acetyl-L-glutamic acid__FEC,Niacinamide__FEC
Undecanoic acid__FEC,Nonanoic acid__FEC
4-Hydroxybenzoic acid__FEC,L-Norvaline__FEC
4-Hydroxybenzoic acid__FEC,N-Methyl-alpha-aminoisobutyric acid__FEC
4-Hydroxybenzoic acid__FEC,1-Octanol__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC","2,5-Di-tert-butyl-4-hydroxyphenol__FEC"
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",3-Methyl-2-furoic acid__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",3-Undecene__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",d-Erythrotetrofuranose__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC","Guanidine, N,N-dimethyl__FEC"
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",Pimelic acid__FEC
Monolaurin__FEC,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC
Monolaurin__FEC,"Xylonic acid, delta-lactone__FEC"
Monolaurin__FEC,Xylose__FEC
Serine__FEC,"2-Furanacetaldehyde, tetrahydro-alpha__FEC"
Serine__FEC,L-Leucine__FEC
Serine__FEC,Phenylalanine__FEC
Picolinic acid__FEC,Glycerol tricaprylate__FEC
Xanthine__FEC,Citric acid__FEC
Xanthine__FEC,Pentanoic acid__FEC
1-Monopalmitin__FEC,Pipecolic acid__FEC
Pipecolic acid__FEC,1-Octanol__FEC
Pyrrole-2-carboxylic acid__FEC,1-Octanol__FEC
Myristic acid__FEC,2'-Deoxyribolactone__FEC
Myristic acid__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
"Inosose-2, myo__FEC",1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC
"Inosose-2, myo__FEC",trans-Coniferryl alchool__FEC
D-Glucose__FEC,Glycerol tricaprylate__FEC
Tetrahydrogeranyl formate__FEC,3-Undecene__FEC
Tetrahydrogeranyl formate__FEC,"Guanidine, N,N-dimethyl__FEC"
Tetrahydrogeranyl formate__FEC,Pentanoic acid__FEC
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",Pimelic acid__FEC
5-Methyluridine__FEC,12-Oxooctadecanoate__FEC
2-Ethylacetoacetate__FEC,"2,3,4-Trihydroxybutyric acid__FEC"
2-Ethylacetoacetate__FEC,8-Hydroxy-5-(hydroxymethyl)quinoline__FEC
2-Ethylacetoacetate__FEC,beta-D-(-)-Ribopyranose__FEC
2-Ethylacetoacetate__FEC,"Erythrono-1,4-lactone__FEC"
2-Ethylacetoacetate__FEC,"Propanoic acid, 2-oxo__FEC"
2-Ethylacetoacetate__FEC,Tricine__FEC
Cyclohexanemethanol__FEC,3-(3-Hydroxyphenyl)propanoic acid__FEC
"Guanidine, N,N-dimethyl__FEC",3-Undecene__FEC
"Guanidine, N,N-dimethyl__FEC","Acetamide, N-(2-butyl)-N-methyl-__FEC"
"Guanidine, N,N-dimethyl__FEC","Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
"Guanidine, N,N-dimethyl__FEC",Menthol__FEC
N-Acetyl glucosamine methoxime__FEC,Uridine__FEC
2-Hydroxy-3-methylbutyric acid__FEC,Decanoic acid__FEC
2-Hydroxy-3-methylbutyric acid__FEC,Glycerol tricaprylate__FEC
Decanoic acid__FEC,Glycerol tricaprylate__FEC
Butyl caprylate__FEC,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC"
Butyl caprylate__FEC,Arabinitol__FEC
9-Octadecenoic acid__FEC,4-Pyridinol__FEC
Pentanoic acid__FEC,3-Undecene__FEC
N-Acetylglucosamine__FEC,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC"
Tyrosine__FEC,Phenylalanine__FEC
"2,3,4-Trihydroxybutyric acid__FEC","3-Hydroxy-2,3-dihydromaltol__FEC"
"2,3,4-Trihydroxybutyric acid__FEC","Erythrono-1,4-lactone__FEC"
"2,3,4-Trihydroxybutyric acid__FEC",Ribonic acid__FEC
Cytosine__FEC,L-Serine__FEC
Dihydrouracil__FEC,"Propanoic acid, 2-oxo__FEC"
2'-Desoxyuridine__FEC,Thymidine__FEC
Butyl Succinate__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
Butyl Succinate__FEC,L-(+)-Lactic acid__FEC
Butyl Succinate__FEC,"Propanoic acid, 2-oxo__FEC"
alpha-Tocopheryl acetate__FEC,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__FEC
beta-D-(-)-Ribopyranose__FEC,"Erythrono-1,4-lactone__FEC"
N-Methyl-alpha-aminoisobutyric acid__FEC,4-Hydroxybenzaldehyde__FEC
N-Methyl-alpha-aminoisobutyric acid__FEC,Phloretic acid__FEC
Niacinamide__FEC,"2-Pentenedioic acid, 2-hydroxy-__FEC"
"D-Erythro-Pentitol, 2-deoxy-__FEC",1-Hexanol__FEC
Phenylalanine__FEC,4-Hydroxybenzaldehyde__FEC
1-Octadecanol__FEC,Ethanamine__FEC
1-Octadecanol__FEC,"2-Furanacetaldehyde, tetrahydro-alpha__FEC"
1-Octadecanol__FEC,"Acetamide, N-(2-butyl)-N-methyl-__FEC"
1-Octadecanol__FEC,d-Erythrotetrofuranose__FEC
3-Undecene__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
3-Undecene__FEC,Menthol__FEC
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__FEC,Nonanoic acid__FEC
L-(+)-Lactic acid__FEC,Pimelic acid__FEC
L-(+)-Lactic acid__FEC,"Propanoic acid, 2-oxo__FEC"
"2-Furanacetaldehyde, tetrahydro-alpha__FEC",Idoxuridine__FEC
Glycolic acid__FEC,"Propanoic acid, 2-oxo__FEC"
Octadecyl octyl ether__FEC,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC"
Octadecyl octyl ether__FEC,d-Erythrotetrofuranose__FEC
"Azetidine, 1-acetyl-2-methyl__FEC",Hexacosanoic acid__FEC
Palmitic Acid__FEC,"Acetamide, N-(2-butyl)-N-methyl-__FEC"
3-Hydroxyisovaleric acid__FEC,trans-Coniferryl alchool__FEC
"Erythrono-1,4-lactone__FEC",Idoxuridine__FEC
2'-Deoxyribolactone__FEC,1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC
2'-Deoxyribolactone__FEC,d-Erythrotetrofuranose__FEC
2'-Deoxyribolactone__FEC,Glycerol tricaprylate__FEC
Idoxuridine__FEC,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC"
Idoxuridine__FEC,Tricine__FEC
Ketamine__FEC,"Butanoic acid, 3,4-dihydroxy-__FEC"
4-Hydroxybenzaldehyde__FEC,1-Octanol__FEC
Lignoceric acid__FEC,"beta-D-Galactopyranoside, methyl-, acetate__FEC"
3-Deoxyhexitol__FEC,2-Palmitoylglycerol__FEC
3-Deoxyhexitol__FEC,Phloretic acid__FEC
"Propane, 2-methyl__FEC","Acetamide, N-(2-butyl)-N-methyl-__FEC"
D-Mannopyranose__FEC,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol__FEC"
Tricine__FEC,d-Erythrotetrofuranose__FEC
3-Hydroxypicolinic acid__FEC,trans-Coniferryl alchool__FEC
1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC,d-Erythrotetrofuranose__FEC
d-Erythrotetrofuranose__FEC,4-Hydroxyphenyllactic acid__FEC
d-Erythrotetrofuranose__FEC,Glycerol__FEC
Glycerol tricaprylate__FEC,Glycerol__FEC
3-Hydroxybutyric acid__FEC,Hexacosanoic acid__FEC
Xylazine__FEC,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC","Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-__PLS"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC",N-Isobutyrylglycine__PLS
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC","D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
3-Pyridylcarbinol__FEC,1-Aminocyclopropanecarboxylic acid__PLS
L-Aspartic acid__FEC,1-Phenethylamine__PLS
Supraene__FEC,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
Tyrosine__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
Tyrosine__FEC,5-Hydroxyquinoline__PLS
L-Isoleucine__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
L-Isoleucine__FEC,5-Hydroxyquinoline__PLS
Uracil__FEC,Indole-3-lactic acid__PLS
Uracil__FEC,Isoxaben__PLS
3-Pyridylcarbinol__FEC,3-Amino-2-piperidone__PLS
Salsoline__FEC,(pm)-Norketamine__PLS
Picolinic acid__FEC,2-Ketoisocaproic acid__PLS
L-Isoleucine__FEC,"Cyclopentanone, 2,2,4-trimethyl-__PLS"
Suberic acid__FEC,3-Amino-2-piperidone__PLS
Itaconic acid__FEC,"Inosose-2, 1,3,4,5,6-pentakis-__PLS"
Supraene__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
Tyrosine__FEC,"Cyclopentanone, 2,2,4-trimethyl-__PLS"
"Butanoic acid, 3,4-dihydroxy-__FEC","Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-__PLS"
Supraene__FEC,5-Hydroxyquinoline__PLS
Picolinic acid__FEC,DL-Phenylalanine__PLS
Picolinic acid__FEC,1-Aminocyclopropanecarboxylic acid__PLS
Picolinic acid__FEC,3-Amino-2-piperidone__PLS
Salsoline__FEC,Uracil__PLS
L-Threonine__FEC,"9,12-Octadecadienoic acid__PLS"
2-Ethylacetoacetate__FEC,DL-Ornithine__PLS
Suberic acid__FEC,"2,5-Dimethoxymandelic acid__PLS"
Methylmaleic acid__FEC,"9,12-Octadecadienoic acid__PLS"
Tyrosine__FEC,"9,12-Octadecadienoic acid__PLS"
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC,L-Glutamic acid__PLS
Serine__FEC,"2,2-Diallylpyrrolidine__PLS"
9-Octadecenoic acid__FEC,"Acetin, bis-1,3-trimethylsilyl ether__PLS"
Uracil__FEC,Acetoacetic acid__PLS
Cytosine__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
Serine__FEC,Methyl-3-methoxy-5-methyl benzoate__PLS
D-(-)-Fructopyranose__FEC,DL-Ornithine__PLS
L-Proline__FEC,1-Aminocyclopropanecarboxylic acid__PLS
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC,"9,12-Octadecadienoic acid__PLS"
L-Isoleucine__FEC,DL-Glyceraldehyde__PLS
Salsoline__FEC,DL-Phenylalanine__PLS
L-Valine__FEC,Niclosamide__PLS
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS"
3-Pyridylcarbinol__FEC,Indole-3-lactic acid__PLS
L-Threonine__FEC,1-Aminocyclopropanecarboxylic acid__PLS
Supraene__FEC,1-Phenethylamine__PLS
Itaconic acid__FEC,L-Glutamic acid__PLS
Tyrosine__FEC,DL-Glyceraldehyde__PLS
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)__FEC","Propanoic acid, 2-methyl-__PLS"
Norketamine__FEC,"Cyclopentanone, 2,2,4-trimethyl-__PLS"
Tyrosine__FEC,"D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
Norketamine__FEC,2-Ketoisocaproic acid__PLS
L-Isoleucine__FEC,Acetoacetic acid__PLS
Tyrosine__FEC,Arachidonic acid__PLS
Suberic acid__FEC,"Azetidine, 1-acetyl-2-methyl-__PLS"
l-Leucyl-l-valine__FEC,"Cholest-7-en-3-ol, (3beta,5alpha)-__PLS"
L-Proline__FEC,"D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
Suberic acid__FEC,"Propanoic acid, 2-methyl-__PLS"
3-Pyridylcarbinol__FEC,"Benzaldehyde, 2,5-dimethyl-__PLS"
Uracil__FEC,Methyl-3-methoxy-5-methyl benzoate__PLS
"cis-4,5-Dihydroxy-o-dithiane__FEC","1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS"
3-Pyridylcarbinol__FEC,Trimidox__PLS
D-(-)-Fructopyranose__FEC,"Octane, 1-propoxy-__PLS"
L-Isoleucine__FEC,"D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
L-Isoleucine__FEC,Isoxaben__PLS
Methylmaleic acid__FEC,Acetoacetic acid__PLS
Cytosine__FEC,Methyl-3-methoxy-5-methyl benzoate__PLS
Suberic acid__FEC,"2,2-Diallylpyrrolidine__PLS"
Methylmaleic acid__FEC,"D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
Itaconic acid__FEC,Methyl-3-methoxy-5-methyl benzoate__PLS
9-Octadecenoic acid__FEC,Nonadecanoic acid__PLS
9-Octadecenoic acid__FEC,Diphenyl ether__PLS
L-Threonine__FEC,Acetoacetic acid__PLS
Uracil__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
L-Valine__FEC,"N,O-Bis(trimethylsilyl)carbamate__PLS"
DL-Phenylalanine__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
L-Isoleucine__FEC,Methylmalonic monoamide__PLS
9-Octadecenamide__FEC,"Benzaldehyde, 2,5-dimethyl-__PLS"
3-Pyridylcarbinol__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
L-Valyl-L-leucine__FEC,Methyl-3-methoxy-5-methyl benzoate__PLS
Vanillin__FEC,Glyceric acid__PLS
2-Pyrrolidinone__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
Cyclohexanemethanol__FEC,"Inosose-2, 1,3,4,5,6-pentakis-__PLS"
Methylmaleic acid__FEC,1-Aminocyclopropanecarboxylic acid__PLS
"Gluconolactone (3R,4S,5R,6R)__FEC",Dobutamine__PLS
9-Octadecenoic acid__FEC,Phenoxyacetic acid__PLS
3-Pyridylcarbinol__FEC,D-Ribose__PLS
Uracil__FEC,"1,1'-Biphenyl, 3,4-diethyl-__PLS"
L-Rhamnose__FEC,"D-Isoleucine, N-acetyl-__PLS"
Norketamine__FEC,"Propanoic acid, 2-methyl-__PLS"
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",Uracil__PLS
D-Glucose__FEC,DL-Phenylalanine__PLS
L-Aspartic acid__FEC,Acetoacetic acid__PLS
L-Threonine__FEC,Methyl-3-methoxy-5-methyl benzoate__PLS
L-Threonine__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
Itaconic acid__FEC,"D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
L-Serine__FEC,"Dodecane, 4,6-dimethyl-__PLS"
Itaconic acid__FEC,"1,1'-Biphenyl, 3,4-diethyl-__PLS"
"3-Hydroxy-2,3-dihydromaltol__FEC",alpha-Linolenic acid__PLS
L-Isoleucine__FEC,Arachidonic acid__PLS
"N-Acetyl-D-galactosamine, (R,R,R,R)__FEC",Indole-3-lactic acid__PLS
L-Leucine__FEC,"D-Xylofuranose, 1,2,3,5-tetrakis-O-__PLS"
Uracil__FEC,"Benzaldehyde, 2,5-dimethyl-__PLS"
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC",Indole-3-lactic acid__PLS
N-Acetyl glucosamine methoxime__FEC,"Propanoic acid, 2-methyl-__PLS"
pyrazole__FEC,L-Aspartic acid__PLS
Itaconic acid__FEC,Indole-3-lactic acid__PLS
L-Threonine__FEC,Isoxaben__PLS
Pyrrole-2-carboxylic acid__FEC,"Erythrono-1,4-lactone, (Z)-__PLS"
Supraene__FEC,"9,12-Octadecadienoic acid__PLS"
D-(-)-Ribofuranose__FEC,Palmitic Acid__PLS
Pipecolic acid__FEC,"Erythrono-1,4-lactone, (Z)-__PLS"
Phenylalanine__FEC,Acetoacetic acid__PLS
Pentanedioic acid__FEC,Mirin__PLS
Salsoline__FEC,Mirin__PLS
Serine__FEC,"Glycine, N-(N-DL-leucylglycyl)-__PLS"
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC,Dihydrouracil__PLS
2-Hydroxy-3-methylbutyric acid__FEC,"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-__PLS"
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",Glyceric acid__PLS
2-Pyrrolidinone__FEC,Mirin__PLS
Uracil__FEC,10-Heptadecenoic acid__PLS
DL-Phenylalanine__FEC,5-Hydroxyquinoline__PLS
3-Hexenedioic acid__FEC,Octocrylene__PLS
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate__FEC",3-Methoxysalicylic acid__PLS
Picolinic acid__FEC,DL-Ornithine__PLS
Tetrahydrogeranyl formate__FEC,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS"
Phenylalanine__FEC,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS"
L-Rhamnose__FEC,"Erythrono-1,4-lactone, (Z)-__PLS"
"N-Acetyl-D-galactosamine, (R,R,R,R)__FEC",3-Amino-2-piperidone__PLS
2-Hydroxy-3-methylbutyric acid__FEC,Desmosterol__PLS
D-(+)-Glucosamine__FEC,Indole-3-lactic acid__PLS
"Pentitol, 3-desoxy__FEC",Pyrrole-2-carboxylic acid__PLS
Uracil__FEC,Glyceric acid__PLS
L-Proline__FEC,"Cyclopentanone, 2,2,4-trimethyl-__PLS"
Picolinic acid__FEC,4-Hydroxybenzoic acid__PLS
Methylmaleic acid__FEC,L-Glutamic acid__PLS
Serine__FEC,Methylmalonic monoamide__PLS
"N-Acetyl-D-galactosamine, (R,R,R,R)__FEC",3-Methoxysalicylic acid__PLS
"2,3,4-Trihydroxybutyric acid__FEC",Acetoacetic acid__PLS
Itaconic acid__FEC,L-Aspartic acid__PLS
Pipecolic acid__FEC,L-Aspartic acid__PLS
Xylazine__FEC,beta-Hydroxypyruvic acid__PLS
Pyrogallol__FEC,"1,3,5-Benzetriol__PLS"
DL-Phenylalanine__FEC,Niclosamide__PLS
Phenylalanine__FEC,5-Hydroxyquinoline__PLS
"2-Pentenedioic acid, 2-hydroxy-__FEC","3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS"
Pentanedioic acid__FEC,Ethanolamine__PLS
L-Threonine__FEC,5-Hydroxyquinoline__PLS
D-(-)-Fructopyranose__FEC,DL-Phenylalanine__PLS
2'-Desoxyuridine__FEC,Indole-3-lactic acid__PLS
Salsoline__FEC,Methylmalonic monoamide__PLS
Pipecolic acid__FEC,10-Heptadecenoic acid__PLS
Supraene__FEC,"Cyclopentanone, 2,2,4-trimethyl-__PLS"
Cytosine__FEC,DL-Glyceraldehyde__PLS
DL-Phenylalanine__FEC,DL-Glyceraldehyde__PLS
Uracil__FEC,DL-Phenylalanine__PLS
Syringaldehyde__FEC,(pm)-Norketamine__PLS
2-Pyrrolidinone__FEC,5-Hydroxyquinoline__PLS
Suberic acid__FEC,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS"
Itaconic acid__FEC,Glycolic acid__PLS
L-Valyl-L-leucine__FEC,"2,2-Diallylpyrrolidine__PLS"
