"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"17968486","NA","NA","NA","NA","NA","NA","NA","0"
"8214","13-Docosenamide","HMDB0244507","8214",NA,NA,NA,"CCCCCCCCC=CCCCCCCCCCCCC(N)=O","1"
"596766","NA","NA","NA","NA","NA","NA","NA","0"
"10436013","NA","NA","NA","NA","NA","NA","NA","0"
"91736762","NA","NA","NA","NA","NA","NA","NA","0"
"92534","NA","NA","NA","NA","NA","NA","NA","0"
"7264","NA","NA","NA","NA","NA","NA","NA","0"
"66131","NA","NA","NA","NA","NA","NA","NA","0"
"469","2-Aminoadipic acid","HMDB0302754","469","37024","C00956","5496","NC(CCCC(O)=O)C(O)=O","1"
"6657","NA","NA","NA","NA","NA","NA","NA","0"
"6919","2-Furoic acid","HMDB0000617","6919","30845","C01546","2266","OC(=O)C1=CC=CO1","1"
"89180","NA","NA","NA","NA","NA","NA","NA","0"
"5282709","2-Heptenoic acid","HMDB0031484","5282709","38364",NA,NA,"CCCC\C=C\C(O)=O","1"
"5318042","2-Hexen-1-ol","HMDB0030952","5318042","141205",NA,NA,"CCC\C=C\CO","1"
"99823","2-Hydroxy-3-methylbutyric acid","HMDB0000407","99823","60645",NA,"5396","CC(C)C(O)C(O)=O","1"
"95695","NA","NA","NA","NA","NA","NA","NA","0"
"11266","NA","NA","NA","NA","NA","NA","NA","0"
"545941","NA","NA","NA","NA","NA","NA","NA","0"
"70","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"549519","2-Methyl-4-pentenoic acid","HMDB0031158","549519",NA,NA,NA,"CC(CC=C)C(O)=O","1"
"6368126","(E)-2-Methylglutaconic acid","HMDB0002266","6368126",NA,NA,"6584","C\C(=C/CC(O)=O)C(O)=O","1"
"8663","2-Naphthol","HMDB0012322","8663","10432","C11713",NA,"OC1=CC2=CC=CC=C2C=C1","1"
"567495","NA","NA","NA","NA","NA","NA","NA","0"
"5371820","NA","NA","NA","NA","NA","NA","NA","0"
"12025","2-Pyrrolidinone","HMDB0002039","12025","36592","C11118","6452","O=C1CCCN1","1"
"573606","NA","NA","NA","NA","NA","NA","NA","0"
"23284","2,2,4-Trimethyl-1,3-pentadienol diisobutyrate","HMDB0059777","23284",NA,NA,NA,"CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C","1"
"262","2,3-Butanediol","HMDB0003156","262","62064","C00265","104","CC(O)C(C)O","1"
"6491","NA","NA","NA","NA","NA","NA","NA","0"
"12867","2,6-Di-tert-butylbenzoquinone","HMDB0013817","12867",NA,NA,NA,"CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C","1"
"17161","NA","NA","NA","NA","NA","NA","NA","0"
"79200","NA","NA","NA","NA","NA","NA","NA","0"
"12216540","NA","NA","NA","NA","NA","NA","NA","0"
"5314498","NA","NA","NA","NA","NA","NA","NA","0"
"139766","NA","NA","NA","NA","NA","NA","NA","0"
"548216","NA","NA","NA","NA","NA","NA","NA","0"
"91740490","NA","NA","NA","NA","NA","NA","NA","0"
"24208768","NA","NA","NA","NA","NA","NA","NA","0"
"5372748","NA","NA","NA","NA","NA","NA","NA","0"
"543321","NA","NA","NA","NA","NA","NA","NA","0"
"5200225","3-Amino-2-piperidone","HMDB0000323","5200225","76341",NA,"5312","NC1CCCNC1=O","1"
