SampleID,CSF Composition,Pooled,ul for the pool,Total ul (Were already normalized),original class,used in training,class after prediction,correctly predicted: 5/27 total,original class,used in training,predicted TP VECPAC,CTRL VS 2.5H,CTRL VS 24H,2.5H VS 24H,predicted TP LPS,T0 VS T1,T0 VS T3,T0 VS T5,T1 VS T3,T1 VS T5,T3 VS T5,predicted TP DSS,FINAL class,Action,Switch,,
957_CSF_24H_080224,957,FALSE,10,10,LPS,NO,DSS,,LPS 24H,NO,,100% CTRL,57% 24H 43% CTRL,100% 24H,24H,66% T0 33% T1,100% T3,100% T0,100% T3,100% T1,100% T3,?,LPS 24H,Confirmed,,,
954961_CSF_24H_080224,954+961,TRUE,8+2,10,LPS,YES,LPS,,LPS 24H,YES,,,,,,,,,,,,,LPS 24H,Confirmed,,,
955961_CSF_24H_080224,955+961,TRUE,7+3,10,LPS,YES,LPS,,LPS 24H,YES,,,,,,,,,,,,,LPS 24H,Confirmed,,,
956_CSF_24H_080224,956,FALSE,10,10,LPS,YES,LPS,,LPS 24H,YES,,,,,,,,,,,,,LPS 24H,Confirmed,,,
959_CSF_24H_080224,959,FALSE,10,10,LPS,YES,LPS,,LPS 24H,YES,,,,,,,,,,,,,LPS 24H,Confirmed,,,
960962963_CSF_24H_080224,960+962+963,TRUE,6+3+1,10,LPS,YES,LPS,,LPS 24H,YES,,,,,,,,,,,,,LPS 24H,Confirmed,,,
958963_CSF_24H_080224,958+963,TRUE,8.5+1.5,10,LPS,NO,VECPAC,,LPS 24H,NO,100% CTRL,100% 2.5H,71% 24H,100% 24H,24H,,,,,,,,LPS 24H,Confirmed,,,
935_CTR_LPS_CSF_070224,935,FALSE,10,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
936_CTR_LPS_CSF_070224_2,936,FALSE,10,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
937_CTR_LPS_CSF_070224,937,FALSE,8,8,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
938942_CTR_LPS_CSF_070224,938+942,TRUE,8+2,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
939940.2_CTR_LPS_CSF_070224,939+940.2,TRUE,8.5+1.5,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
940934_CTR_LPS_CSF_070224,940+934,TRUE,3+7,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
941_CTR_LPS_CSF_070224,941,FALSE,10,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
942_CTR_LPS_CSF_070224,942,FALSE,10,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
943_CTR_LPS_CSF_070224,943,FALSE,10,10,LPS,YES,LPS,,LPS CTRL,YES,,,,,,,,,,,,,LPS CTRL,Confirmed,,,
32963296.1_VECPAC_200224,3296+3296.1,TRUE,10,10,VECPAC,YES,VECPAC,,CRE,YES,,,,,,,,,,,,,CRE,Confirmed,,,
330632963296.1VECPAC_200224_2,3306+3296+3296.1,TRUE,5+5,10,VECPAC,YES,VECPAC,,CRE,YES,,,,,,,,,,,,,CRE,Confirmed,,,
33283356_VECPAC_190224,3328+3356,TRUE,5+5,10,VECPAC,YES,VECPAC,,CRE,YES,,,,,,,,,,,,,CRE,Confirmed,,,
333033473689_VECPAC_190224,3330+3347+3689,TRUE,3+4+3,10,VECPAC,NO,VECPAC,,CRE,YES,,,,,,,,,,,,,CRE,Confirmed,,,
335233703689_VECPAC_200224,3352+3370+3689,TRUE,4+3+1.5,8.5,VECPAC,YES,VECPAC,,CRE,YES,,,,,,,,,,,,,CRE,Confirmed,,,
335533643665_VECPAC_200224,3355+3364+3665,TRUE,3+5+2,10,VECPAC,YES,VECPAC,,CRE,YES,,,,,,,,,,,,,CRE,Confirmed,,,
VECPAC_36783675_120224,3678+3675,TRUE,5.5+4.5,10,VECPAC,NO,DSS/LPS,,VECPAC CTRL,NO,66% CTRL,100% CTRL,100% CTRL,100% 24H,VECPAC CTRL,50% T0 50% T1,100% T3,100% T0,100% T3,100% T1,83% T3,VECPAC CTRL,VECPAC CTRL,Confirmed,,,
3369367333713677_VECPAC_190224,3369+3673+3371+3677,TRUE,3.5+0.5+4+2,10,VECPAC,NO,LPS,,VECPAC CTRL,NO,50% CTRL 50% CRE,100% CTRL,100% CTRL,100% 24H,VECPAC CTRL,,,,,,,,VECPAC CTRL,Confirmed,,,
3297_VECPAC_190224,3297,FALSE,10,10,VECPAC,YES,VECPAC,,VECPAC CTRL,YES,,,,,,,,,,,,,VECPAC CTRL,Confirmed,,,
33543353VECPAC_190224,3354+3353,TRUE,8+0.5,8.5,VECPAC,YES,VECPAC,,VECPAC CTRL,YES,,,,,,,,,,,,,VECPAC CTRL,Confirmed,,,
36743677_VECPAC_190224,3674+3677,TRUE,9+1,10,VECPAC,YES,VECPAC,,VECPAC CTRL,yes,,,,,,,,,,,,,VECPAC CTRL,Confirmed,,,
36773688_VECPAC_190224,3677+3688,TRUE,3+7,10,VECPAC,YES,VECPAC,,VECPAC CTRL,YES,,,,,,,,,,,,,VECPAC CTRL,Confirmed,,,
3679_VECPAC_190224,3679,FALSE,10,10,VECPAC,YES,VECPAC,,VECPAC CTRL,YES,,,,,,,,,,,,,VECPAC CTRL,Confirmed,,,
3681_VECPAC_190224,3681,FALSE,10,10,VECPAC,YES,VECPAC,,VECPAC CTRL,YES,,,,,,,,,,,,,VECPAC CTRL,Confirmed,,,
36803629.1_REP_VECPAC_200224,3680+3329,TRUE,5.5+3,8.5,VECPAC,NO,LPS,,VECPAC CTRL,NO,83% CRE,100% CTRL,66% 24H 33% CTRL,100% 24H,VECPAC CTRL,,,,,,,,CRE+,Confirmed (Check RNA seq which is confirming for the CP),CRE+,,
CSF_101_102_104_21122021,101+102+104,TRUE,,,DSS,YES,DSS,,T0,NO,,,,,,100% T1,100% T3,86% T5,86% T1,100% T1,100% T5,No T0,T1,Excluded,,They are not matching with all the time points with similar %,
CSF_105_21122021,105,FALSE,10,10,DSS,YES,DSS,,T0,NO,,,,,,86% T1,100% T3,100% T5,86% T1,86% T5,100% T5,No T0,No T0,Excluded,,They are not matching with all the time points with similar %,
CSF_106_20122021,106,FALSE,10,10,DSS,YES,DSS,,T0,NO,,,,,,86% T1,100% T3,100% T5,50% T1 50% T3,100% T5,100% T5,No T0,T3,Excluded,,They are not matching with all the time points with similar %,
CSF_75_103_20122021,75+103,TRUE,,,DSS,YES,DSS,,T0,NO,,,,,,100% T1,100% T3,100% T5,66% T1,100% T1,100% T3,No T0,T1,Excluded,,They are not matching with all the time points with similar %,
DSS_T1.6901_090224,T1.6+901,TRUE,4.5+5,9.5,DSS,NO,DSS,,T1,NO,,,,,,71% T0,100% T3,100% T0,66% T3,100% T1,83% T3,T0,T0,Excluded,T0,The classification in T0 could be due to a delay in the biological effect,
DSS_BT1.8_090224,T1.8,FALSE,10,10,DSS,NO,VECPAC,,T1,NO,66% CTRL,,,,,71% T0,66% T0,86% T0,100% T3,100% T1,86% T3,T0,T0,Excluded,T0,The classification in T0 could be due to a delay in the biological effect,
DSS_T3.7_090224,T3.7,FALSE,9,9,DSS,NO,LPS,,T3,NO,,100% CTRL,100% CTRL,100% 2.5H,LPS CTRL,86% T0,100% T0,100% T0,86% T3,100% T1,86% T3,T0,T0,Excluded,T0,The classification in T0 could be due to a delay in the biological effect,
952953_CSF_25H_080224,952+953,TRUE,6.5+3.5,10,LPS,NO,DSS,,LPS 2.5H,NO,,100% CTRL,86% CTRL,86% 24H,LPS CTRL,57% T0 43% T1,100% T3,86% T0,86% T3,100% T1,100% T3,?,LPS_CTRL,Excluded,,,
944946_CSF_25H_080224,944+946,TRUE,6.5+3.5,10,LPS,YES,LPS,,LPS 2.5H,NO,,100% CTRL,71% 24H,100% 24H,LPS CTRL,,,,,,,,LPS CTRL,Excluded,,There is not any switch ,
3687_VECPAC_190224,3687,FALSE,8,8,VECPAC,YES,VECPAC,,VECPAC CTRL,NO,71% CRE,,,,,,,,,,,,CRE+,"Excluded (Check RNA seq , is not confirming)",CRE+,,
CSF_109_21122021,109,FALSE,10,10,DSS,YES,DSS,,T1,YES,,,,,,,,,,,,,T1,,,,
CSF_110_21122021,110,FALSE,10,10,DSS,YES,DSS,,T1,YES,,,,,,,,,,,,,T1,,,,
CSF_113_20122021,113,FALSE,10,10,DSS,YES,DSS,,T1,YES,,,,,,,,,,,,,T1,,,,
CSF_81_83_108_113_21122021,81+83+108+113,TRUE,,,DSS,YES,DSS,,T1,YES,,,,,,,,,,,,,T1,,,,
DSS_114107_090224,114+107,TRUE,5+5,10,DSS,NO,DSS,,T1,YES,,,,,,,,,,,,,T1,,,,
CSF_118_120_21122021,118+120,TRUE,,,DSS,YES,DSS,,T3,YES,,,,,,,,,,,,,T3,,,,
CSF_89_PROVA_07122021,89,FALSE,10,10,DSS,YES,DSS,,T3,YES,,,,,,,,,,,,,T3,,,,
DSS_8586T3.878906_120224,85+86+T3.8+78+906,TRUE,0.5+3+2.5+2+2,10,DSS,YES,DSS,,T3,YES,,,,,,,,,,,,,T3,,,,RNA seq CP CRE+ (Dropped)
DSS_907_120224,907,FALSE,10,10,DSS,NO,DSS,,T3,YES,,,,,,,,,,,,,T3,,,,
DSS_91_120224,91,FALSE,10,10,DSS,YES,DSS,,T3,YES,,,,,,,,,,,,,T3,,,,
DSS_T3.6_090224,T3.6,FALSE,10,10,DSS,YES,DSS,,T3,YES,,,,,,,,,,,,,T3,,,,
